family,method,mean_ratio,median_ratio,mean_size,mean_label,n
brockington,exact,1.0,1.0,5.0667,5.0667,15
brockington,gat_cond+greedy,0.8638,0.8571,5.5119,6.4167,84
brockington,greedy_min_degree,0.9271,1.0,5.9286,6.4167,84
brockington,greedy_random,0.7206,0.7143,4.5952,6.4167,84
brockington,sa_restarts,0.9044,0.875,5.75,6.4167,84
c_fat,exact,1.0,1.0,2.0,2.0,14
c_fat,gat_cond+greedy,0.9142,1.0,3.0,3.3452,84
c_fat,greedy_min_degree,0.9352,1.0,3.0952,3.3452,84
c_fat,greedy_random,0.7101,0.6667,2.3333,3.3452,84
c_fat,sa_restarts,0.9346,1.0,3.0119,3.3452,84
hamming,exact,1.0,1.0,3.2727,3.2727,22
hamming,gat_cond+greedy,0.9135,1.0,4.9405,5.4881,84
hamming,greedy_min_degree,0.9726,1.0,5.3452,5.4881,84
hamming,greedy_random,0.7872,0.7639,4.25,5.4881,84
hamming,sa_restarts,0.952,1.0,5.1548,5.4881,84
johnson,exact,1.0,1.0,3.2632,3.2632,19
johnson,gat_cond+greedy,0.9224,1.0,3.9405,4.4167,84
johnson,greedy_min_degree,0.9624,1.0,4.2143,4.4167,84
johnson,greedy_random,0.7671,0.8167,3.369,4.4167,84
johnson,sa_restarts,0.9793,1.0,4.2262,4.4167,84
keller,exact,1.0,1.0,7.4545,7.4545,11
keller,gat_cond+greedy,0.7561,0.9212,11.4643,15.9524,84
keller,greedy_min_degree,0.9799,1.0,15.5833,15.9524,84
keller,greedy_random,0.5936,0.5,9.369,15.9524,84
keller,sa_restarts,0.7908,0.8571,12.131,15.9524,84
p_hat,exact,1.0,1.0,6.9444,6.9444,18
p_hat,gat_cond+greedy,0.9105,0.9,8.381,9.25,84
p_hat,greedy_min_degree,0.9324,0.9231,8.631,9.25,84
p_hat,greedy_random,0.7243,0.7143,6.6786,9.25,84
p_hat,sa_restarts,0.8972,0.8819,8.2381,9.25,84
sanchis,exact,1.0,1.0,5.7143,5.7143,14
sanchis,gat_cond+greedy,0.879,0.8661,6.2857,7.2143,84
sanchis,greedy_min_degree,0.9319,1.0,6.7024,7.2143,84
sanchis,greedy_random,0.7391,0.7143,5.3333,7.2143,84
sanchis,sa_restarts,0.9181,0.8889,6.5833,7.2143,84
sanchis_random,exact,1.0,1.0,5.4706,5.4706,17
sanchis_random,gat_cond+greedy,0.879,0.8571,6.8452,7.869,84
sanchis_random,greedy_min_degree,0.936,1.0,7.369,7.869,84
sanchis_random,greedy_random,0.7159,0.7208,5.6667,7.869,84
sanchis_random,sa_restarts,0.894,0.875,6.9524,7.869,84
steiner,gat_cond+greedy,0.8577,1.0,3.6786,4.3333,84
steiner,greedy_min_degree,0.9679,1.0,4.1786,4.3333,84
steiner,greedy_random,0.8202,0.8,3.5119,4.3333,84
steiner,sa_restarts,0.95,1.0,4.0833,4.3333,84
