family,method,mean_size,median_size,mean_runtime,valid_fraction,n_graphs,ratio_to_ref
brockington,exact,5.0667,5.0,0.0004,1.0,15,1.0856
brockington,gat_cond+greedy,5.5119,5.0,0.0084,1.0,84,0.9663
brockington,greedy_min_degree,5.9286,6.0,0.0037,1.0,84,1.0388
brockington,greedy_random,4.5952,4.0,0.0,1.0,84,0.8062
brockington,sa_restarts,5.75,5.5,0.0006,1.0,84,1.0
c_fat,exact,2.0,2.0,0.0002,1.0,14,1.0
c_fat,gat_cond+greedy,3.0,2.0,0.0079,1.0,84,0.9872
c_fat,greedy_min_degree,3.0952,2.0,0.003,1.0,84,1.0121
c_fat,greedy_random,2.3333,2.0,0.0,1.0,84,0.7697
c_fat,sa_restarts,3.0119,2.0,0.0004,1.0,84,1.0
hamming,exact,3.2727,3.0,0.0003,1.0,22,1.0
hamming,gat_cond+greedy,4.9405,5.0,0.0121,1.0,84,0.9638
hamming,greedy_min_degree,5.3452,6.0,0.0039,1.0,84,1.0286
hamming,greedy_random,4.25,3.5,0.0,1.0,84,0.8318
hamming,sa_restarts,5.1548,6.0,0.0006,1.0,84,1.0
johnson,exact,3.2632,2.0,0.0001,1.0,19,1.0193
johnson,gat_cond+greedy,3.9405,3.5,0.0107,1.0,84,0.9491
johnson,greedy_min_degree,4.2143,3.5,0.0046,1.0,84,0.9921
johnson,greedy_random,3.369,3.0,0.0,1.0,84,0.7893
johnson,sa_restarts,4.2262,3.5,0.0006,1.0,84,1.0
keller,exact,7.4545,7.0,0.0001,1.0,11,1.0758
keller,gat_cond+greedy,11.4643,10.0,0.0085,1.0,84,1.0134
keller,greedy_min_degree,15.5833,14.0,0.0048,1.0,84,1.3474
keller,greedy_random,9.369,7.0,0.0,1.0,84,0.8252
keller,sa_restarts,12.131,12.0,0.001,1.0,84,1.0
p_hat,exact,6.9444,7.0,0.0005,1.0,18,1.0653
p_hat,gat_cond+greedy,8.381,8.0,0.0062,1.0,84,1.0203
p_hat,greedy_min_degree,8.631,8.0,0.0021,1.0,84,1.0468
p_hat,greedy_random,6.6786,6.0,0.0,1.0,84,0.8131
p_hat,sa_restarts,8.2381,8.0,0.0006,1.0,84,1.0
sanchis,exact,5.7143,6.0,0.0004,1.0,14,1.0388
sanchis,gat_cond+greedy,6.2857,6.0,0.0085,1.0,84,0.963
sanchis,greedy_min_degree,6.7024,6.0,0.0028,1.0,84,1.0233
sanchis,greedy_random,5.3333,5.0,0.0,1.0,84,0.8099
sanchis,sa_restarts,6.5833,7.0,0.0007,1.0,84,1.0
sanchis_random,exact,5.4706,5.0,0.0005,1.0,17,1.08
sanchis_random,gat_cond+greedy,6.8452,6.0,0.0094,1.0,84,0.9886
sanchis_random,greedy_min_degree,7.369,7.0,0.004,1.0,84,1.0552
sanchis_random,greedy_random,5.6667,5.5,0.0,1.0,84,0.805
sanchis_random,sa_restarts,6.9524,7.0,0.0008,1.0,84,1.0
steiner,gat_cond+greedy,3.6786,4.0,0.0136,1.0,84,0.9036
steiner,greedy_min_degree,4.1786,4.0,0.0046,1.0,84,1.0256
steiner,greedy_random,3.5119,4.0,0.0,1.0,84,0.8619
steiner,sa_restarts,4.0833,4.0,0.0006,1.0,84,1.0
