graph_id,family,n_nodes,n_edges,method,size,valid,runtime,label_size
634,c_fat,85,3478,greedy_min_degree,3,True,0.026102066040039062,3
634,c_fat,85,3478,greedy_random,2,True,0.0009641647338867188,3
634,c_fat,85,3478,sa_restarts,2,True,0.0010597705841064453,3
634,c_fat,85,3478,gat_cond+greedy,2,True,0.036881208419799805,3
550,brockington,52,639,greedy_min_degree,7,True,0.0008313655853271484,7
550,brockington,52,639,greedy_random,5,True,4.315376281738281e-05,7
550,brockington,52,639,sa_restarts,7,True,0.00048470497131347656,7
550,brockington,52,639,gat_cond+greedy,6,True,0.0060389041900634766,7
607,c_fat,85,971,greedy_min_degree,8,True,0.0011818408966064453,8
607,c_fat,85,971,greedy_random,5,True,3.409385681152344e-05,8
607,c_fat,85,971,sa_restarts,6,True,0.0005209445953369141,8
607,c_fat,85,971,gat_cond+greedy,8,True,0.010955095291137695,8
3905,sanchis_random,60,1275,greedy_min_degree,4,True,0.00131988525390625,5
3905,sanchis_random,60,1275,greedy_random,3,True,2.7894973754882812e-05,5
3905,sanchis_random,60,1275,sa_restarts,4,True,0.0004248619079589844,5
3905,sanchis_random,60,1275,gat_cond+greedy,4,True,0.01540994644165039,5
2079,johnson,39,726,greedy_min_degree,2,True,0.0012998580932617188,2
2079,johnson,39,726,greedy_random,2,True,7.605552673339844e-05,2
2079,johnson,39,726,sa_restarts,2,True,0.0005371570587158203,2
2079,johnson,39,726,gat_cond+greedy,2,True,0.008156061172485352,2
4834,steiner,103,4913,greedy_min_degree,4,True,0.008367061614990234,4
4834,steiner,103,4913,greedy_random,4,True,4.792213439941406e-05,4
4834,steiner,103,4913,sa_restarts,4,True,0.004593849182128906,4
4834,steiner,103,4913,gat_cond+greedy,4,True,0.17305898666381836,4
1156,hamming,28,193,greedy_min_degree,6,True,0.0002739429473876953,6
1156,hamming,28,193,greedy_random,6,True,2.8848648071289062e-05,6
1156,hamming,28,193,sa_restarts,6,True,0.0004820823669433594,6
1156,hamming,28,193,exact,6,True,0.001008749008178711,6
1156,hamming,28,193,gat_cond+greedy,4,True,0.012012958526611328,6
1793,johnson,170,12542,greedy_min_degree,10,True,0.044480085372924805,10
1793,johnson,170,12542,greedy_random,6,True,8.487701416015625e-05,10
1793,johnson,170,12542,sa_restarts,7,True,0.0054168701171875,10
1793,johnson,170,12542,gat_cond+greedy,10,True,0.09663009643554688,10
2073,johnson,20,190,greedy_min_degree,1,True,0.0003440380096435547,1
2073,johnson,20,190,greedy_random,1,True,2.5987625122070312e-05,1
